open_time,close_time,symbol,side,open_price,close_price,volume,pnl,tx_hash,gas_cost_eth,tokens_sold,tokens_bought
2022-05-21 16:21:47,2022-05-21 16:21:47,sdCRVCRV-f-gauge/sdCRVCRV-f,SELL,1.0,1.0,1941195.08511987,0,0xa4344b3547837c9608c1c7cd835ffb9e9ab814ce8b4b05772810d538c32d7a06,0.006447,sdCRVCRV-f-gauge:1941195.0851,sdCRVCRV-f:1941195.0851
2022-05-22 16:20:50,2022-05-22 16:20:50,aCRV/CRV,SELL,1.0,1.0,2900000.0,0,0xdc2c390cab13c61ecd31685614c7cd7d0fa4a42c52730ade904a87a72a412a11,0.027447,aCRV:2900000.0,CRV:2900000.0
2022-05-26 09:27:51,2022-05-26 09:27:51,CRV/aCRV,SELL,1.0,1.0,5000000.0,0,0xb14656ad8da534d9ab72ad066f5e1992314ae9c1768701029e2401ddd071ab6d,0.006822,CRV:5000000.0,aCRV:5000000.0
2022-05-26 12:26:36,2022-05-26 12:26:36,cvxCRV/cvxcrv-f,SELL,0.98105273,0.98105273,4880817.77556804,0,0x74173d206bf9d153cc8c44cd949b61557a7400e0fb9561f2bcaa4e1e17d38d5d,0.003222,cvxCRV:4880817.7756,cvxcrv-f:4788339.6098
2022-05-26 12:31:02,2022-05-26 12:31:02,CVX/CRV,SELL,8.57793301,8.57793301,2108.56319189,0,0x3cd9afecbb04c6ea33a25815d434e0cfb4db7a1e64482bb87ceb058d73b949ca,0.015463,CVX:2108.5632,CRV:18087.1138
2022-05-26 21:34:53,2022-05-26 21:34:53,3Crv/USDT,SELL,1.02194943,1.02194943,130449.00722224,0,0x66882756c3c3a59c6c1f62f8f23c3e6d3be60b26692331e1efec77d03574c073,0.008415,3Crv:130449.0072,USDT:133312.2888
2022-05-30 08:14:16,2022-05-30 08:14:16,aCRV/CRV,SELL,1.0,1.0,5000000.0,0,0xfeca2449bf031b265483a542769f9cd5683ac41be28fc56ba4016eac76c888fb,0.034862,aCRV:5000000.0,CRV:5000000.0
2022-06-01 18:56:04,2022-06-01 18:56:04,CRV/aCRV,SELL,1.0,1.0,3000000.0,0,0x7d1f39022e9987dbe973ad5060c5d76fbb1b2e9576aa1b11c5b7e682fc95c389,0.022594,CRV:3000000.0,aCRV:3000000.0
2022-06-03 10:41:15,2022-06-03 10:41:15,T/USDC,SELL,0.05069342,0.05069342,70000.0,0,0x015c5b5a940ba8d7b18ae2bf4ebc7b3c86158a9f8636be31b9f111e150376666,0.027806,T:70000.0,USDC:3548.5397
2022-06-05 14:37:57,2022-06-05 14:37:57,3Crv/MIM,SELL,1.02190937,1.02190937,74127.15169227,0,0x4f306d818483a789443ad3931a8b6662391a92e19ba57203a9cb6327b4ca8e2f,0.017087,3Crv:74127.1517,MIM:75751.2308
2022-06-05 14:40:31,2022-06-05 14:40:31,CVX/CRV,SELL,7.23667663,7.23667663,5150.92963951,0,0xa78bcf7a43515434d14f813ee93a40b36c5eafe9acdae78f607463bcd5a588ac,0.052371,CVX:5150.9296,CRV:37275.6122
2022-06-05 14:42:39,2022-06-05 14:42:39,CRV/cvxcrv-f,SELL,1.03127893,1.03127893,80555.0,0,0xc0aa9a1bb6522ffa7a2219994685675c35a4dfd4a3ef160b25d88b891b62f717,0.011951,CRV:80555.0,cvxcrv-f:83074.6744
2022-06-06 13:42:52,2022-06-06 13:42:52,CRV/aCRV,SELL,1.0,1.0,2000000.0,0,0x49f079b8510b81021d8a4ed349f606b62dbcf46ae396b75d5f7cdf840854967e,0.01056,CRV:2000000.0,aCRV:2000000.0
2022-06-07 18:07:46,2022-06-07 18:07:46,CRV/aCRV,SELL,1.0,1.0,2000000.0,0,0x2c2cb257e3af461d9d3976ad64471c018ddb098f029f962b2517838736ac9a61,0.018296,CRV:2000000.0,aCRV:2000000.0
2022-06-07 18:17:18,2022-06-07 18:17:18,renBTC/USDC,BUY,30170.65100858,30170.65100858,9.94343873,0,0x3eabd2e2137be0736a3bc3961fc8a047e454435a509a10e587f8baae60e61bd7,0.050506,USDC:300000.0197,renBTC:9.9434
2022-06-09 14:05:49,2022-06-09 14:05:49,CRV/aCRV,SELL,1.0,1.0,1000000.0,0,0x1a844b11577b9e166e0a0f6d103eab78981e4f8bd6a9c8a6947971755cc67d3f,0.014908,CRV:1000000.0,aCRV:1000000.0
2022-06-10 16:45:41,2022-06-10 16:45:41,CRV/aCRV,SELL,1.0,1.0,5000000.0,0,0x0f4af118574aeb7540a695ec952768aaf519497ad6b87bbb121f247f144b466a,0.028585,CRV:5000000.0,aCRV:5000000.0
2022-06-10 17:28:22,2022-06-10 17:28:22,cvxcrv-f/cvxcrv-f-gauge,SELL,1.0,1.0,4871414.28427152,0,0x73dee8a7d649fb2eee33a836def6af30b86405b375b33f36745dad5d0b08d6d0,0.02481,cvxcrv-f:4871414.2843,cvxcrv-f-gauge:4871414.2843
2022-06-11 09:17:49,2022-06-11 09:17:49,3Crv/MIM,SELL,1.02177569,1.02177569,68461.15999104,0,0x2b53e4538e904d2bea74ddde07066ff5f7fbec4557e67930b3c2a8ddf5c07c1f,0.008777,3Crv:68461.16,MIM:69951.9491
2022-06-11 09:21:39,2022-06-11 09:21:39,CRV/aCRV,SELL,1.0,1.0,2000000.0,0,0x394a90cc71eed75e4589d84bac3a54f75eb5ec78807256bee2433eed40447c9f,0.008765,CRV:2000000.0,aCRV:2000000.0
2022-06-11 09:27:36,2022-06-11 09:27:36,MIM/USDC,BUY,0.99930543,0.99930543,800556.04275241,0,0x295d2af35f0918e764685848caa46d8f03d4972c3f38637e8b55205ed5991bbf,0.014154,USDC:800000.0,MIM:800556.0428
2022-06-12 08:17:27,2022-06-12 08:17:27,CVX/crvCVXETH,SELL,0.12115332,0.12115332,2724.1330281,0,0xfd68e29911820ccb9b372499474637dbb14a5d0d3e914a7380cebf18a27c0ade,0.008564,CVX:2724.133,crvCVXETH:330.0378
2022-06-12 09:05:17,2022-06-12 09:05:17,T/CVX,SELL,0.00866018,0.00866018,2000000.0,0,0x11b665d15b8f90807f086442304f004bcecd2f096a79ca8ad56ff72e2c5696ad,0.014316,T:2000000.0,CVX:17320.3561
2022-06-12 09:12:16,2022-06-12 09:12:16,CVX/crvCVXETH,SELL,0.0582713,0.0582713,17320.35610114,0,0x820da1b992d6d4f6370645249d2f4cb8d2d82ace2569b71749ab2afc764eacca,0.012743,CVX:17320.3561,crvCVXETH:1009.2797
2022-06-13 06:39:47,2022-06-13 06:39:47,CRV/aCRV,SELL,1.0,1.0,13000000.0,0,0x339a1e43f6ac39dd19a4a2b68e0e1d1c5495565bed168c00d41b49c2a519f3e7,0.00711,CRV:13000000.0,aCRV:13000000.0
2022-06-13 11:51:33,2022-06-13 11:51:33,CRV/aCRV,SELL,1.0,1.0,10000000.0,0,0x37e14075adc8c7db1bcfe8b21df9bc9dc1e54fb8c5e8679e82ee3f1150ad82fa,0.017493,CRV:10000000.0,aCRV:10000000.0
2022-06-13 11:55:06,2022-06-13 11:55:06,MIM/USDC,BUY,0.99880137,0.99880137,2002400.136492,0,0xd792efe800c3aae5928974c6bcb9cdaa0109f084f695be7f6e75714ea38fe869,0.034885,USDC:2000000.0,MIM:2002400.1365
2022-06-15 10:15:18,2022-06-15 10:15:18,CRV/aCRV,SELL,1.0,1.0,7000000.0,0,0xd2f275534aa01eff277064b039500358f90b1b357d8e84468e5a2bbcd1b59251,0.013736,CRV:7000000.0,aCRV:7000000.0
2022-06-15 12:50:46,2022-06-15 12:50:46,cvxcrv-f-gauge/cvxcrv-f,SELL,1.0,1.0,4871414.28427152,0,0xbf7e35c71d6eb5311e43e518da98236462eb9b4c79f6018149f1420e5dc0d094,0.028194,cvxcrv-f-gauge:4871414.2843,cvxcrv-f:4871414.2843
2022-06-15 12:52:22,2022-06-15 12:52:22,cvxcrv-f/cvxCRV,SELL,1.02499836,1.02499836,4871414.28427152,0,0x894adcae3e1050c352bee5884e2f48c9ad24579d086f2db5b80898448c135f80,0.003684,cvxcrv-f:4871414.2843,cvxCRV:4993191.6755
2022-06-16 20:27:44,2022-06-16 20:27:44,3Crv/DAI,SELL,1.02079052,1.02079052,154717.25671142,0,0xc7cdd7d8e34ec8d47f1508a9935f393e23fa1b7f862e2883462fd335165e4b31,0.006441,3Crv:154717.2567,DAI:157933.9094
2022-06-17 17:39:31,2022-06-17 17:39:31,CRV/aCRV,SELL,1.0,1.0,3000000.0,0,0x47acbf0553133594e96c9d71451d8ea8c229cc3fd48e134da9e3b8a2d5aefefc,0.014179,CRV:3000000.0,aCRV:3000000.0
2022-06-17 17:44:48,2022-06-17 17:44:48,USDC/USDP,SELL,0.98856022,0.98856022,1004800.0,0,0x0fb58bae06e95bf004e98508c1666f1b7c9d22a4144d6e9547db54e3ebc2bd08,0.013378,USDC:1004800.0,USDP:993305.307
2022-06-17 17:46:54,2022-06-17 17:46:54,CRV/USDP,BUY,9.552e-05,9.552e-05,2500000.0,0,0xada3682816c70ecdf291b36e7a06fa4d91b493fd28cc92a8c1300ffedd6a2c8a,0.005894,USDP:238.8038,CRV:2500000.0
2022-06-18 07:57:52,2022-06-18 07:57:52,CRV/aCRV,SELL,1.0,1.0,10000000.0,0,0xdcfa55647f509f6b360d59f7c092f71d64770ce5b2581848724b6fe4f5455441,0.010476,CRV:10000000.0,aCRV:10000000.0
